student_id,subject,quiz_score,quiz_accuracy,total_attempts,study_time_hours,average_time_per_question,completion_rate,previous_score,current_score,practice_questions,difficulty_level,time_management_score,consistency_score,timestamp
STU00005,Python,93.7,95.1,1,3.0,43.1,100.0,74.3,93.7,19,Easy,82.8,89.6,2025-09-19 03:00:00
STU00005,Data Structures,79.8,79.2,2,3.9,37.9,96.7,93.7,79.8,10,Easy,98.1,99.4,2025-09-23 07:00:00
STU00005,Algorithms,72.7,68.7,3,2.0,32.8,94.0,79.8,72.7,16,Hard,85.1,87.6,2025-09-27 06:00:00
STU00005,Database,100.0,100.0,4,3.4,43.1,93.6,72.7,100.0,10,Easy,88.6,88.0,2025-10-01 05:00:00
STU00005,Web Development,81.6,81.4,5,4.5,42.7,97.0,100.0,81.6,25,Medium,94.4,94.6,2025-10-05 07:00:00
STU00005,Python,91.3,94.2,6,4.1,27.9,88.7,81.6,91.3,16,Medium,95.3,92.1,2025-10-09 08:00:00
STU00005,Data Structures,81.4,75.0,7,2.9,46.0,91.7,91.3,81.4,9,Medium,89.4,92.9,2025-10-13 02:00:00
STU00005,Algorithms,79.5,78.4,8,3.6,39.8,94.8,81.4,79.5,18,Hard,91.6,93.4,2025-10-17 04:00:00
STU00005,Database,98.5,96.5,9,4.2,36.1,97.0,79.5,98.5,8,Easy,89.5,100.0,2025-10-21 03:00:00
STU00005,Web Development,94.3,90.5,10,2.3,30.8,100.0,98.5,94.3,18,Medium,94.6,91.6,2025-10-25 03:00:00
STU00005,Python,87.8,91.2,11,3.9,34.9,94.8,94.3,87.8,24,Medium,92.5,96.8,2025-10-29 05:00:00
STU00005,Data Structures,92.9,91.6,12,3.0,33.8,90.7,87.8,92.9,22,Medium,93.0,92.1,2025-11-02 03:00:00
STU00005,Algorithms,82.7,85.5,13,2.8,45.4,94.8,92.9,82.7,22,Easy,87.3,91.2,2025-11-06 02:00:00
STU00005,Database,80.6,85.4,14,2.5,32.7,95.9,82.7,80.6,18,Hard,93.4,87.8,2025-11-10 02:00:00
STU00005,Web Development,96.1,88.7,15,3.7,35.0,95.3,80.6,96.1,10,Easy,93.0,92.3,2025-11-14 06:00:00
STU00005,Python,87.2,89.2,16,2.8,40.7,97.6,96.1,87.2,21,Medium,95.8,86.6,2025-11-18 05:00:00
STU00005,Data Structures,82.7,83.7,17,3.6,37.6,96.9,87.2,82.7,25,Medium,86.9,96.3,2025-11-22 04:00:00
STU00005,Algorithms,95.9,96.8,18,3.5,34.3,94.3,82.7,95.9,16,Medium,94.7,91.9,2025-11-26 05:00:00
STU00005,Database,87.1,85.6,19,3.6,45.7,97.8,95.9,87.1,8,Hard,95.6,94.0,2025-11-30 07:00:00
STU00005,Web Development,85.0,81.5,20,3.9,34.3,94.3,87.1,85.0,9,Medium,95.3,96.9,2025-12-04 01:00:00
STU00006,Python,48.3,48.4,1,2.0,112.7,92.7,30.2,48.3,16,Easy,48.3,52.6,2025-09-20 08:00:00
STU00006,Data Structures,48.7,45.5,2,2.8,108.3,88.7,48.3,48.7,10,Medium,43.6,54.7,2025-09-24 07:00:00
STU00006,Algorithms,46.4,49.4,3,2.9,100.7,91.0,48.7,46.4,11,Easy,40.2,56.5,2025-09-28 03:00:00
STU00006,Database,44.6,50.5,4,1.7,104.8,92.5,46.4,44.6,20,Medium,44.9,50.1,2025-10-02 05:00:00
STU00006,Web Development,42.5,43.7,5,3.1,98.6,94.5,44.6,42.5,19,Medium,42.9,58.8,2025-10-06 03:00:00
STU00006,Python,54.0,50.1,6,3.4,100.3,92.9,42.5,54.0,23,Easy,43.8,51.8,2025-10-10 08:00:00
STU00006,Data Structures,39.2,46.1,7,2.3,106.4,94.4,54.0,39.2,22,Medium,52.8,52.5,2025-10-14 05:00:00
STU00006,Algorithms,42.7,41.8,8,2.7,107.0,95.9,39.2,42.7,17,Medium,55.9,54.4,2025-10-18 02:00:00
STU00006,Database,43.9,43.0,9,3.5,106.6,92.3,42.7,43.9,14,Medium,46.9,54.8,2025-10-22 03:00:00
STU00006,Web Development,35.3,40.6,10,4.0,108.7,97.9,43.9,35.3,9,Hard,48.9,55.0,2025-10-26 08:00:00
STU00006,Python,45.9,40.8,11,2.5,102.1,89.0,35.3,45.9,9,Medium,50.2,45.1,2025-10-30 02:00:00
STU00006,Data Structures,58.8,57.3,12,3.6,108.6,93.8,45.9,58.8,12,Easy,46.2,55.3,2025-11-03 03:00:00
STU00006,Algorithms,28.5,32.2,13,1.8,100.4,93.4,58.8,28.5,25,Hard,43.8,55.6,2025-11-07 03:00:00
STU00006,Database,46.7,51.3,14,2.8,95.6,91.7,28.5,46.7,19,Medium,52.3,51.1,2025-11-11 04:00:00
STU00006,Web Development,74.1,61.2,15,1.9,96.4,100.0,46.7,74.1,24,Easy,49.8,43.2,2025-11-15 01:00:00
STU00006,Python,43.9,46.6,16,1.9,102.6,100.0,74.1,43.9,13,Medium,48.6,49.5,2025-11-19 06:00:00
STU00006,Data Structures,52.3,51.5,17,3.4,93.6,96.6,43.9,52.3,17,Medium,55.7,49.2,2025-11-23 04:00:00
STU00006,Algorithms,58.8,59.1,18,2.2,92.5,98.3,52.3,58.8,13,Easy,51.8,44.1,2025-11-27 03:00:00
STU00006,Database,37.1,36.7,19,3.8,99.3,90.3,58.8,37.1,11,Hard,47.4,57.3,2025-12-01 05:00:00
STU00006,Web Development,49.8,50.9,20,3.8,104.2,87.4,37.1,49.8,8,Medium,45.4,52.7,2025-12-05 06:00:00
STU00007,Python,100.0,100.0,1,2.2,41.8,100.0,79.0,100.0,25,Easy,99.1,78.4,2025-09-20 07:00:00
STU00007,Data Structures,100.0,100.0,2,3.0,44.0,90.7,100.0,100.0,11,Easy,96.4,76.4,2025-09-24 01:00:00
STU00007,Algorithms,97.6,100.0,3,2.0,37.2,99.2,100.0,97.6,13,Medium,93.1,79.0,2025-09-28 06:00:00
STU00007,Database,85.9,86.3,4,3.4,36.5,97.9,97.6,85.9,20,Easy,97.0,80.1,2025-10-02 01:00:00
STU00007,Web Development,100.0,99.8,5,2.3,33.1,91.7,85.9,100.0,12,Easy,98.8,81.8,2025-10-06 03:00:00
STU00007,Python,99.6,100.0,6,2.5,47.4,99.8,100.0,99.6,22,Medium,96.6,81.0,2025-10-10 04:00:00
STU00007,Data Structures,93.3,90.5,7,4.0,39.7,95.2,99.6,93.3,14,Hard,92.2,88.2,2025-10-14 01:00:00
STU00007,Algorithms,98.8,96.8,8,4.2,40.6,86.5,93.3,98.8,20,Hard,92.6,82.6,2025-10-18 08:00:00
STU00007,Database,100.0,100.0,9,3.1,25.0,100.0,98.8,100.0,13,Easy,90.6,79.4,2025-10-22 02:00:00
STU00007,Web Development,97.2,95.6,10,2.4,34.8,96.5,100.0,97.2,19,Easy,90.8,77.6,2025-10-26 01:00:00
STU00007,Python,100.0,100.0,11,3.7,43.2,94.4,97.2,100.0,22,Easy,95.4,80.7,2025-10-30 06:00:00
STU00007,Data Structures,100.0,100.0,12,3.1,34.5,98.1,100.0,100.0,10,Easy,89.6,78.2,2025-11-03 07:00:00
STU00007,Algorithms,99.8,100.0,13,2.5,27.3,94.0,100.0,99.8,11,Easy,93.7,83.5,2025-11-07 08:00:00
STU00007,Database,87.6,97.8,14,2.5,40.9,96.2,99.8,87.6,13,Easy,97.5,77.8,2025-11-11 02:00:00
STU00007,Web Development,99.6,100.0,15,3.8,33.4,94.0,87.6,99.6,17,Medium,97.7,75.4,2025-11-15 03:00:00
STU00007,Python,100.0,100.0,16,2.3,39.6,94.1,99.6,100.0,25,Medium,89.9,78.5,2025-11-19 03:00:00
STU00007,Data Structures,100.0,96.0,17,3.8,30.4,93.9,100.0,100.0,10,Medium,96.4,82.9,2025-11-23 02:00:00
STU00007,Algorithms,100.0,100.0,18,4.0,35.8,93.0,100.0,100.0,12,Medium,85.9,84.0,2025-11-27 01:00:00
STU00007,Database,100.0,98.5,19,4.3,40.9,100.0,100.0,100.0,24,Medium,100.0,75.7,2025-12-01 05:00:00
STU00007,Web Development,100.0,100.0,20,3.5,43.8,98.2,100.0,100.0,12,Easy,96.6,85.3,2025-12-05 06:00:00
STU00008,Python,57.4,58.3,1,3.5,106.7,91.9,36.3,57.4,10,Medium,40.0,38.5,2025-09-05 07:00:00
STU00008,Data Structures,48.7,50.3,2,3.3,107.4,87.1,57.4,48.7,20,Medium,43.5,43.4,2025-09-09 02:00:00
STU00008,Algorithms,61.8,59.5,3,1.7,106.8,98.8,48.7,61.8,21,Easy,41.0,48.6,2025-09-13 03:00:00
STU00008,Database,55.5,57.4,4,1.9,114.5,94.9,61.8,55.5,17,Medium,39.2,40.7,2025-09-17 07:00:00
STU00008,Web Development,56.4,53.7,5,1.6,95.0,95.3,55.5,56.4,23,Medium,40.8,41.1,2025-09-21 02:00:00
STU00008,Python,50.9,55.9,6,2.4,100.9,98.0,56.4,50.9,14,Medium,38.8,43.1,2025-09-25 07:00:00
STU00008,Data Structures,62.7,53.8,7,3.2,119.1,100.0,50.9,62.7,20,Medium,32.7,49.0,2025-09-29 06:00:00
STU00008,Algorithms,51.0,51.2,8,1.6,111.3,97.7,62.7,51.0,23,Medium,38.7,40.3,2025-10-03 03:00:00
STU00008,Database,78.7,70.9,9,3.3,105.2,98.5,51.0,78.7,24,Easy,34.8,39.4,2025-10-07 05:00:00
STU00008,Web Development,52.4,51.1,10,2.5,103.3,100.0,78.7,52.4,8,Medium,38.3,38.8,2025-10-11 04:00:00
STU00008,Python,64.7,61.0,11,3.0,108.3,93.1,52.4,64.7,15,Medium,50.5,42.5,2025-10-15 02:00:00
STU00008,Data Structures,59.9,58.4,12,2.0,98.4,94.9,64.7,59.9,23,Easy,45.5,35.9,2025-10-19 01:00:00
STU00008,Algorithms,41.8,45.8,13,2.7,95.5,100.0,59.9,41.8,22,Medium,44.0,38.7,2025-10-23 06:00:00
STU00008,Database,55.3,60.2,14,2.2,90.1,96.0,41.8,55.3,16,Medium,38.2,39.6,2025-10-27 05:00:00
STU00008,Web Development,52.3,55.5,15,2.7,92.3,91.5,55.3,52.3,16,Medium,39.7,45.7,2025-10-31 07:00:00
STU00008,Python,51.7,47.4,16,1.9,120.5,97.6,52.3,51.7,10,Hard,38.4,44.2,2025-11-04 05:00:00
STU00008,Data Structures,56.8,58.9,17,2.9,106.1,96.9,51.7,56.8,15,Medium,41.2,46.6,2025-11-08 04:00:00
STU00008,Algorithms,54.7,52.2,18,1.8,107.0,94.6,56.8,54.7,25,Medium,43.2,40.3,2025-11-12 08:00:00
STU00008,Database,63.7,64.3,19,3.1,108.4,94.1,54.7,63.7,15,Medium,34.7,39.2,2025-11-16 01:00:00
STU00008,Web Development,47.9,49.2,20,3.8,112.2,94.9,63.7,47.9,23,Hard,43.5,46.7,2025-11-20 05:00:00
STU00009,Python,32.1,36.4,1,3.3,105.1,95.3,30.0,32.1,17,Medium,53.5,39.6,2025-09-19 03:00:00
STU00009,Data Structures,47.2,45.4,2,2.3,97.2,96.0,32.1,47.2,12,Medium,50.4,43.7,2025-09-23 01:00:00
STU00009,Algorithms,39.6,47.0,3,2.3,99.3,94.4,47.2,39.6,19,Easy,59.2,41.0,2025-09-27 02:00:00
STU00009,Database,31.3,37.6,4,3.7,100.5,88.9,39.6,31.3,17,Medium,57.8,44.5,2025-10-01 03:00:00
STU00009,Web Development,52.8,53.0,5,3.3,107.5,91.5,31.3,52.8,14,Medium,60.1,36.3,2025-10-05 02:00:00
STU00009,Python,38.5,33.4,6,1.8,104.8,87.4,52.8,38.5,14,Medium,57.6,41.4,2025-10-09 06:00:00
STU00009,Data Structures,35.7,40.0,7,2.7,103.8,92.4,38.5,35.7,9,Hard,55.1,43.7,2025-10-13 08:00:00
STU00009,Algorithms,40.4,42.7,8,1.6,98.2,95.3,35.7,40.4,14,Medium,58.6,41.8,2025-10-17 06:00:00
STU00009,Database,54.1,51.7,9,4.0,93.1,95.6,40.4,54.1,13,Medium,60.5,35.6,2025-10-21 07:00:00
STU00009,Web Development,51.4,49.3,10,2.4,110.6,100.0,54.1,51.4,25,Easy,65.0,48.2,2025-10-25 02:00:00
STU00009,Python,39.1,40.0,11,2.1,98.9,95.0,51.4,39.1,17,Easy,53.5,43.8,2025-10-29 07:00:00
STU00009,Data Structures,57.2,54.4,12,2.2,105.6,92.5,39.1,57.2,11,Medium,65.4,43.5,2025-11-02 01:00:00
STU00009,Algorithms,43.4,45.2,13,3.2,101.5,92.8,57.2,43.4,9,Easy,57.3,44.0,2025-11-06 04:00:00
STU00009,Database,62.6,55.3,14,2.1,103.1,92.4,43.4,62.6,18,Medium,60.3,50.5,2025-11-10 04:00:00
STU00009,Web Development,45.4,46.8,15,3.3,101.7,100.0,62.6,45.4,25,Medium,49.0,42.7,2025-11-14 07:00:00
STU00009,Python,40.9,40.0,16,2.4,97.4,90.5,45.4,40.9,15,Medium,57.7,48.3,2025-11-18 08:00:00
STU00009,Data Structures,51.4,52.2,17,1.8,96.4,97.7,40.9,51.4,10,Hard,66.5,38.7,2025-11-22 02:00:00
STU00009,Algorithms,55.0,54.1,18,3.0,97.4,95.4,51.4,55.0,25,Medium,60.2,45.0,2025-11-26 06:00:00
STU00009,Database,58.3,56.4,19,3.4,94.3,88.3,55.0,58.3,15,Easy,57.6,36.5,2025-11-30 07:00:00
STU00009,Web Development,45.3,48.2,20,2.8,92.7,97.4,58.3,45.3,24,Hard,63.0,39.4,2025-12-04 08:00:00
STU00010,Python,53.8,54.8,1,2.9,92.1,93.7,33.5,53.8,23,Easy,46.5,45.7,2025-09-18 08:00:00
STU00010,Data Structures,51.2,49.9,2,2.9,91.7,100.0,53.8,51.2,9,Medium,33.4,45.7,2025-09-22 02:00:00
STU00010,Algorithms,29.3,32.4,3,3.6,87.5,100.0,51.2,29.3,8,Hard,41.8,51.2,2025-09-26 01:00:00
STU00010,Database,43.4,45.7,4,2.7,93.8,95.2,29.3,43.4,8,Medium,47.3,47.6,2025-09-30 05:00:00
STU00010,Web Development,47.2,52.0,5,3.8,87.9,96.1,43.4,47.2,12,Easy,41.2,52.4,2025-10-04 05:00:00
STU00010,Python,52.7,51.0,6,2.5,69.4,90.2,47.2,52.7,15,Medium,38.6,54.0,2025-10-08 02:00:00
STU00010,Data Structures,52.9,54.2,7,2.4,83.3,94.6,52.7,52.9,8,Medium,40.4,45.3,2025-10-12 07:00:00
STU00010,Algorithms,50.9,52.0,8,3.7,89.6,93.6,52.9,50.9,23,Medium,39.7,55.9,2025-10-16 05:00:00
STU00010,Database,53.5,52.1,9,2.3,92.9,93.7,50.9,53.5,20,Hard,44.0,45.4,2025-10-20 04:00:00
STU00010,Web Development,47.5,50.9,10,2.5,83.7,87.9,53.5,47.5,10,Medium,30.1,46.8,2025-10-24 01:00:00
STU00010,Python,67.2,65.3,11,3.0,72.5,89.0,47.5,67.2,18,Easy,44.1,47.5,2025-10-28 08:00:00
STU00010,Data Structures,57.1,58.3,12,3.2,83.7,93.6,67.2,57.1,17,Medium,42.8,40.8,2025-11-01 02:00:00
STU00010,Algorithms,47.0,48.7,13,2.5,83.1,96.3,57.1,47.0,17,Easy,34.5,49.2,2025-11-05 02:00:00
STU00010,Database,52.5,51.3,14,2.5,90.7,95.6,47.0,52.5,10,Easy,35.2,42.9,2025-11-09 07:00:00
STU00010,Web Development,54.7,59.4,15,2.9,88.8,94.9,52.5,54.7,24,Easy,42.8,50.3,2025-11-13 03:00:00
STU00010,Python,65.0,63.6,16,2.2,81.4,100.0,54.7,65.0,19,Easy,40.9,49.9,2025-11-17 08:00:00
STU00010,Data Structures,59.3,57.7,17,3.9,80.6,99.8,65.0,59.3,18,Medium,37.0,48.4,2025-11-21 03:00:00
STU00010,Algorithms,46.9,50.1,18,1.9,78.9,97.1,59.3,46.9,23,Easy,47.8,45.5,2025-11-25 06:00:00
STU00010,Database,61.6,60.7,19,2.9,75.8,92.2,46.9,61.6,25,Easy,47.3,48.0,2025-11-29 04:00:00
STU00010,Web Development,46.3,51.5,20,3.5,78.0,97.5,61.6,46.3,17,Medium,41.2,52.7,2025-12-03 07:00:00
STU00011,Python,43.0,43.7,1,2.1,112.6,92.9,30.0,43.0,9,Medium,42.7,48.3,2025-09-16 07:00:00
STU00011,Data Structures,40.0,41.4,2,1.7,116.1,100.0,43.0,40.0,25,Hard,43.4,48.0,2025-09-20 08:00:00
STU00011,Algorithms,43.9,48.1,3,1.9,121.0,94.9,40.0,43.9,17,Easy,39.2,55.7,2025-09-24 02:00:00
STU00011,Database,44.2,42.0,4,3.5,108.2,94.5,43.9,44.2,11,Medium,42.3,52.9,2025-09-28 06:00:00
STU00011,Web Development,51.4,52.0,5,2.4,122.5,99.6,44.2,51.4,15,Easy,43.0,50.0,2025-10-02 06:00:00
STU00011,Python,48.5,45.5,6,2.0,108.9,91.7,51.4,48.5,8,Medium,47.4,42.3,2025-10-06 08:00:00
STU00011,Data Structures,47.9,49.9,7,3.4,114.2,93.7,48.5,47.9,11,Medium,49.5,45.8,2025-10-10 06:00:00
